dataset	analysis_subset	endpoint	n_total	n_event_or_pCR	model_name	variable	effect_type	estimate	conf_low	conf_high	p_value	covariates	notes	source_file	signature	n_signature_genes	n_genes_found	coverage	missing_genes	n_non_event_or_RD	log_effect	se_log_effect	source_context	meta_set	include_GSE194040	include_GSE25066	k	fixed_estimate	fixed_conf_low	fixed_conf_high	fixed_p_value	random_estimate	random_conf_low	random_conf_high	random_p_value	I2	Q_p_value	included_datasets	analysis_level	source_celltype	module	n_pairs	mean_delta	median_delta	sd_delta	min_delta	max_delta	test	statistic	p_adj_BH_within_module	MajorCluster	SubCluster	Subset	comparison	value	p_adj_BH	n_samples	n_patients	n_R	n_NR	effect_R_minus_NR
GSE194040	arm_Paclitaxel + AMG 386	pCR	53	23	arm_specific_axis	scale(APC_CXCL9_axis)	OR	3.987601666585516	1.6174789090953676	9.830710596559657	0.00265990511758029	pCR_binary ~ scale(APC_CXCL9_axis)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	arm_Paclitaxel + Ganetespib	pCR	45	19	arm_specific_axis	(Intercept)	OR	0.7295669918440318	0.4031675425776488	1.3202153927999711	0.2974219487218586	pCR_binary ~ scale(APC_CXCL9_axis)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	arm_Paclitaxel + Ganetespib	pCR	45	19	arm_specific_axis	scale(APC_CXCL9_axis)	OR	1.150274268544187	0.6263315568679316	2.112508747749172	0.6516945756674652	pCR_binary ~ scale(APC_CXCL9_axis)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	arm_Paclitaxel + Ganitumab	pCR	48	16	arm_specific_axis	(Intercept)	OR	0.4911084032399548	0.26660027009321763	0.9046782422559666	0.02252508629133676	pCR_binary ~ scale(APC_CXCL9_axis)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	arm_Paclitaxel + Ganitumab	pCR	48	16	arm_specific_axis	scale(APC_CXCL9_axis)	OR	1.4037418601011564	0.7516170718547361	2.6216690434369063	0.28727894565930506	pCR_binary ~ scale(APC_CXCL9_axis)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	arm_Paclitaxel + MK-2206	pCR	32	13	arm_specific_axis	(Intercept)	OR	0.6841760988787822	0.3378785295690615	1.3854000574526335	0.29170720214273993	pCR_binary ~ scale(APC_CXCL9_axis)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	arm_Paclitaxel + MK-2206	pCR	32	13	arm_specific_axis	scale(APC_CXCL9_axis)	OR	1.0238225836878885	0.499930493164257	2.096716838044409	0.9486728793233824	pCR_binary ~ scale(APC_CXCL9_axis)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	arm_Paclitaxel + Neratinib	pCR	32	13	arm_specific_axis	(Intercept)	OR	0.6355750955770365	0.29414484479615294	1.3733223929105638	0.24891941240092197	pCR_binary ~ scale(APC_CXCL9_axis)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	arm_Paclitaxel + Neratinib	pCR	32	13	arm_specific_axis	scale(APC_CXCL9_axis)	OR	2.348169117650742	0.9691927896288708	5.6891655242297885	0.05866535387427651	pCR_binary ~ scale(APC_CXCL9_axis)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GSE194040	arm_Paclitaxel + Pembrolizumab	pCR	29	19	arm_specific_axis	(Intercept)	OR	2.240010215498375	0.8995873174271356	5.577719547989842	0.08315677314733383	pCR_binary ~ scale(APC_CXCL9_axis)	NA	results/GSE194040_APC_CXCL9_axis_models.tsv	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
