dataset	analysis_subset	endpoint	n_total	n_event_or_pCR	model_name	variable	effect_type	estimate	conf_low	conf_high	p_value	covariates	notes	source_file	signature	n_signature_genes	n_genes_found	coverage	missing_genes	n_non_event_or_RD	log_effect	se_log_effect	source_context	meta_set	include_GSE194040	include_GSE25066	k	fixed_estimate	fixed_conf_low	fixed_conf_high	fixed_p_value	random_estimate	random_conf_low	random_conf_high	random_p_value	I2	Q_p_value	included_datasets	analysis_level	source_celltype	module	n_pairs	mean_delta	median_delta	sd_delta	min_delta	max_delta	test	statistic	p_adj_BH_within_module	MajorCluster	SubCluster	Subset	comparison	value	p_adj_BH	n_samples	n_patients	n_R	n_NR	effect_R_minus_NR	score_or_axis
GSE194040	arm_Paclitaxel + Ganetespib	pCR	45	19	arm_specific_axis	scale(APC_CXCL9_axis)	OR	1.15027426854419	0.626331556867932	2.11250874774917	0.651694575667465	pCR_binary ~ scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	arm_Paclitaxel + Ganitumab	pCR	48	16	arm_specific_axis	(Intercept)	OR	0.491108403239955	0.266600270093218	0.904678242255967	0.0225250862913368	pCR_binary ~ scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	arm_Paclitaxel + Ganitumab	pCR	48	16	arm_specific_axis	scale(APC_CXCL9_axis)	OR	1.40374186010116	0.751617071854736	2.62166904343691	0.287278945659305	pCR_binary ~ scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	arm_Paclitaxel + MK-2206	pCR	32	13	arm_specific_axis	(Intercept)	OR	0.684176098878782	0.337878529569062	1.38540005745263	0.29170720214274	pCR_binary ~ scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	arm_Paclitaxel + MK-2206	pCR	32	13	arm_specific_axis	scale(APC_CXCL9_axis)	OR	1.02382258368789	0.499930493164257	2.09671683804441	0.948672879323382	pCR_binary ~ scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	arm_Paclitaxel + Neratinib	pCR	32	13	arm_specific_axis	(Intercept)	OR	0.635575095577037	0.294144844796153	1.37332239291056	0.248919412400922	pCR_binary ~ scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	arm_Paclitaxel + Neratinib	pCR	32	13	arm_specific_axis	scale(APC_CXCL9_axis)	OR	2.34816911765074	0.969192789628871	5.68916552422979	0.0586653538742765	pCR_binary ~ scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	arm_Paclitaxel + Pembrolizumab	pCR	29	19	arm_specific_axis	(Intercept)	OR	2.24001021549837	0.899587317427136	5.57771954798984	0.0831567731473338	pCR_binary ~ scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE194040	arm_Paclitaxel + Pembrolizumab	pCR	29	19	arm_specific_axis	scale(APC_CXCL9_axis)	OR	3.80690479392814	1.24169152720122	11.671597810367	0.0193501924962625	pCR_binary ~ scale(APC_CXCL9_axis)		results/GSE194040_APC_CXCL9_axis_models.tsv																																																
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_BIR	(Intercept)	OR	0.485415651460953	0.326278660595176	0.722169063258514	0.000362531648247124	pCR_binary ~ cohort + scale(TNBC_BIR_favorable_score)		results/GSE25066_RMA_pCR_DRFS_models.tsv																																																
