dataset	analysis_subset	endpoint	n_total	n_event_or_pCR	model_name	variable	effect_type	estimate	conf_low	conf_high	p_value	covariates	notes
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_APC_CXCL9_plus_proliferation	(Intercept)	OR	0.45981582174960367	0.3049968630370983	0.6932221788312161	2.0778766622233912e-4	pCR_binary ~ cohort + scale(APC_CXCL9_axis) + scale(Proliferation)	
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_APC_CXCL9_plus_proliferation	cohortGSE25065	OR	1.1906158247006258	0.5979564775648435	2.3706843143510024	0.6195222212485769	pCR_binary ~ cohort + scale(APC_CXCL9_axis) + scale(Proliferation)	
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_APC_CXCL9_plus_proliferation	scale(APC_CXCL9_axis)	OR	1.1247813706902594	0.800935375672013	1.5795695511518235	0.4973056958541227	pCR_binary ~ cohort + scale(APC_CXCL9_axis) + scale(Proliferation)	
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_APC_CXCL9_plus_proliferation	scale(Proliferation)	OR	1.60333737509397	1.1234041588570085	2.2883044522362592	0.00929117096967183	pCR_binary ~ cohort + scale(APC_CXCL9_axis) + scale(Proliferation)	
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_Proliferation	(Intercept)	OR	0.4614383706163104	0.3065804379631222	0.6945171430104345	2.0931965900938e-4	pCR_binary ~ cohort + scale(Proliferation)	
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_Proliferation	cohortGSE25065	OR	1.186287381865718	0.5963511177136673	2.3598140601616375	0.6263740437540577	pCR_binary ~ cohort + scale(Proliferation)	
GSE25066_RMA	primary_TNBC	pCR	170	57	pCR_Proliferation	scale(Proliferation)	OR	1.5509248105985871	1.103176206466935	2.180402146121122	0.0115710378045409	pCR_binary ~ cohort + scale(Proliferation)	
GSE163882	primary_TNBC	pCR	90	38	axis_only	(Intercept)	OR	0.7152083161591183	0.463618850036128	1.1033264403794203	0.1296636028612527	pCR_binary ~ scale(APC_CXCL9_axis)	Supportive if positive; audit required because this is the only statistically positive non-I-SPY2 pCR cohort.
GSE163882	primary_TNBC	pCR	90	38	axis_only	scale(APC_CXCL9_axis)	OR	1.715109954403961	1.0844115177414504	2.7126253341740187	0.02108465150702325	pCR_binary ~ scale(APC_CXCL9_axis)	Supportive if positive; audit required because this is the only statistically positive non-I-SPY2 pCR cohort.
GSE163882	primary_TNBC	pCR	90	38	axis_plus_proliferation	(Intercept)	OR	0.7035274445133205	0.45309634080539735	1.092374448011758	0.11724886664105293	pCR_binary ~ scale(APC_CXCL9_axis) + scale(Proliferation)	If APC axis loses significance after proliferation adjustment, interpret as supportive but not proliferation-independent.
GSE163882	primary_TNBC	pCR	90	38	axis_plus_proliferation	scale(APC_CXCL9_axis)	OR	1.45651608693544	0.8604542425057589	2.465487421299486	0.16141449702336552	pCR_binary ~ scale(APC_CXCL9_axis) + scale(Proliferation)	If APC axis loses significance after proliferation adjustment, interpret as supportive but not proliferation-independent.
GSE163882	primary_TNBC	pCR	90	38	axis_plus_proliferation	scale(Proliferation)	OR	1.4037882109153563	0.8180014153510968	2.40906837582808	0.2183498117528222	pCR_binary ~ scale(APC_CXCL9_axis) + scale(Proliferation)	If APC axis loses significance after proliferation adjustment, interpret as supportive but not proliferation-independent.
GSE163882	primary_TNBC	pCR	90	38	proliferation_only	(Intercept)	OR	0.7122949737462587	0.4617666526803983	1.098745712101788	0.12498966984304263	pCR_binary ~ scale(Proliferation)	Proliferation control model.
GSE163882	primary_TNBC	pCR	90	38	proliferation_only	scale(Proliferation)	OR	1.6907947526874756	1.0587438523179589	2.7001685907848456	0.02787740832463228	pCR_binary ~ scale(Proliferation)	Proliferation control model.
GSE163882	primary_TNBC	pCR	90	38	aggregate_BIR_descriptive	(Intercept)	OR	0.7303161580463464	0.4804630259248775	1.1100993456819497	0.14126748941022993	pCR_binary ~ scale(TNBC_BIR_favorable_score)	Supplementary/descriptive only; aggregate BIR is not the main claim.
GSE163882	primary_TNBC	pCR	90	38	aggregate_BIR_descriptive	scale(TNBC_BIR_favorable_score)	OR	0.915727468854702	0.5994865938229432	1.3987915757507416	0.6837862412559492	pCR_binary ~ scale(TNBC_BIR_favorable_score)	Supplementary/descriptive only; aggregate BIR is not the main claim.
GSE163882	primary_TNBC	pCR	90	38	all_stages_axis_only	scale(APC_CXCL9_axis)	OR	1.715109954403961	1.0844115177414504	2.7126253341740187	0.02108465150702325	pCR_binary ~ scale(APC_CXCL9_axis)	All primary TNBC samples; stage parsed but not filtered.
GSE163882	primary_TNBC	pCR	90	38	exclude_stage_IV_axis_only	scale(APC_CXCL9_axis)	OR	1.715109954403961	1.0844115177414504	2.7126253341740187	0.02108465150702325	pCR_binary ~ scale(APC_CXCL9_axis)	Stage IV samples excluded; missing stage retained.
GSE163882	primary_TNBC	pCR	88	36	exclude_missing_stage_axis_only	scale(APC_CXCL9_axis)	OR	1.6132524660250849	1.0205296596600344	2.550228202091654	0.04066007737472633	pCR_binary ~ scale(APC_CXCL9_axis)	Missing stage excluded; stage IV retained.
GSE163882	primary_TNBC	pCR	88	36	exclude_stage_IV_and_missing_axis_only	scale(APC_CXCL9_axis)	OR	1.6132524660250849	1.0205296596600344	2.550228202091654	0.04066007737472633	pCR_binary ~ scale(APC_CXCL9_axis)	Stage IV and missing-stage samples excluded.
GSE163882	primary_TNBC	pCR	88	36	stage_adjusted_axis_plus_proliferation	scale(APC_CXCL9_axis)	OR	1.5555690910229367	0.8844235214307711	2.736014068272761	0.1251082023965445	pCR_binary ~ scale(APC_CXCL9_axis) + scale(Proliferation) + stage_group	Exploratory complete-case stage-adjusted model; interpret as sensitivity only.
